"thinkpad t470",2000,2500
"lenovo t470",2000,2500
"lenovo x250",800,1000
"lenovo x390",1500,5000
"kalita wave",0,150
"kalita wave 155",0,150
"monstera",0,150
"kaffemølle",0,100
